Case Number,Status,Age (Days),Description,Summary,Distinct Capabilities Matched,Fit,Urgency,Priority
00005928,Pending Expert,174,"As the newly appointed leader of enterprise AI transformation at <CLIENT>, Korri is also tasked with overseeing the organizational change management, communication, and training strategies tied to the deployment of advanced analytics, GenAI, and other emerging capabilities. A key priority is growing AI literacy and adoption across the organization in ways that are meaningful, measurable, and aligned with <CLIENT>?s culture and values. Korri is looking for support in developing a scalable literacy framework, which may include certification programs, gamification strategies, and change enablement tactics that inspire engagement beyond compliance. With a junior but growing team, he?s eager to learn from senior transformation leaders who have successfully embedded AI literacy from the top <CLIENT>n. His goal is to empower his team and the broader organization to become not just consumers of AI, but confident, informed contributors to <CLIENT>?s transformation journey.",Enterprise AI transformation leader needs organizational change management and AI literacy framework development for large-scale adoption.,None - IIA better fit,1,5,5
00005896,Exchange Scheduled,57,"<CLIENT> is leading an Agentic AI Sprint focused on understanding the current state, challenges, and opportunities of Agentic AI as it relates to analytics, commerce search, and social commerce (including emerging channels such as TikTok Shop). The sprint is intentionally positioned as a research-driven, exploratory effort, designed to surface how leading organizations are thinking about and applying Agentic AI today. The goal is not theoretical expertise, but rather practical, real-world insight into how peers are experimenting, governing, and operationalizing agentic approaches across global markets. Ideally, <CLIENT> would appreciate connections to senior practitioners at Fortune 500 companies who are actively leading Agentic AI initiatives. This external peer lens will help the sprint team validate assumptions, identify emerging patterns, and contextualize <CLIENT>?s own opportunities, particularly as the team prepares to synthesize findings and inform next steps by mid-February.","Fortune 500 client needs market research and peer connections for Agentic AI exploration across analytics and commerce, not technical implementation.",None - IIA better fit,1,4,4
00005919,Scheduling Offered,34,"Build versus buy has emerged as a key priority area for <CLIENT> as its platform matures and the market for data, analytics, and AI solutions continues to evolve rapidly. The team recognizes that it is no longer realistic to build everything internally, but also does not believe buying everything is the right answer. There is uncertainty around how to strike the right balance of when to build differentiated capabilities, when to buy vendor solutions, and when to buy and integrate. Subash expressed interest in understanding how peers are navigating these tradeoffs today and is looking for market insight and peer perspectives to inform more confident and consistent decision-making.","Enterprise platform team needs strategic guidance on build vs buy decisions for data/analytics/AI capabilities, seeking peer perspectives.",None - IIA better fit,1,4,4
00005875,Scheduling Offered,86,"Victoria is navigating a growing enterprise push toward AI within <CLIENT> and is hoping to get business-first support to ensure these initiatives deliver real value rather than stalled pilots. Her priority is not technical AI training, but helping her team (across data management, governance, and reporting) develop the right business lens for AI adoption. This includes understanding how to evaluate AI use cases, ask better questions of IT partners, assess data readiness, and anticipate the organizational, cost, and scalability challenges that cause most AI initiatives to fail. A particular near-term focus is the planned integration of Copilot into Power BI, where Victoria wants guidance from practitioners who have firsthand experience overcoming common implementation and adoption hurdles.","Enterprise data team needs business-focused AI adoption guidance and organizational change support, not technical implementation.",None - IIA better fit,1,4,4
00005816,Exchange Scheduled,153,"Can you provide examples of successful ROI and KPI calculations on enterprise-level AI deployments (i.e. Copilot, ChatGPT etc.) and the effort required to adequately capture the value realized?",Client seeking ROI measurement methodologies and examples for enterprise AI deployments like Copilot and ChatGPT.,None - IIA better fit,1,4,4
00005814,Scheduling Offered,156,"Melanie was recently moved into an AI Governance role, and she and her team are looking to connect with an AI Governance SME. They're hoping to get caught up on industry trends in this space + scaling AI governance within a largely decentralized org. - Sent Melanie bios and she would like to meet with Michael Golub",New AI governance leader seeking expert guidance on industry trends and scaling governance in decentralized organization.,None - IIA better fit,1,4,4
00005799,Pending Expert,43,Jacob would like to connect with someone from <CLIENT> to connect notes on Epic.,Healthcare professional seeking Epic system insights from peers.,None - IIA better fit,1,4,4
00005867,On Hold,126,"MMO is looking for help supporting a new initiative within Medical Mutual?s Enterprise Data and Analytics division. Joe and his colleague recently took over leadership of the Analytics Resource Group (ARG) and are looking to revitalize its guest speaker series, which has been inactive. They?re hoping to connect with potential speakers, possibly through IIA, for 30?45 minute presentations on topics relevant to the analytics community.",Medical Mutual seeks speakers for analytics community presentations on data democratization and self-service analytics.,None - IIA better fit,1,4,4
00005837,On Hold,126,"MMO is looking for help supporting a new initiative within Medical Mutual?s Enterprise Data and Analytics division. Joe and his colleague recently took over leadership of the Analytics Resource Group (ARG) and are looking to revitalize its guest speaker series, which has been inactive. They?re hoping to connect with potential speakers, possibly through IIA, for 30?45 minute presentations on topics relevant to the analytics community.",Medical Mutual seeks speakers for analytics community presentations on synthetic data use cases.,None - IIA better fit,1,4,4
00005839,On Hold,126,"Email from <CLIENT>: Hi Olivia and Sarah, I hope this week finds you well! I just received a question from our North America Division president around the topic of Retail Media--she is looking for an external perspective on Retail media benchmarks and was w<CLIENT>ing if there was anyone in your network that may be good to connect with? I dug through the topics on the site and did not find anything relevant, so let me know! Thank you so much, <CLIENT>",Retail company seeking external perspective and benchmarks on retail media strategies.,None - IIA better fit,1,4,4
00005940,Future,88,"During our on-site, Matt expressed interest in learning more about IIA?s Analytics Skills Inventory Assessment as a way to better understand his organization?s current analytics capabilities. He is exploring how a structured skills inventory could provide visibility into existing strengths and gaps across roles, help standardize how analytics skills are defined, and support more informed decisions around upskilling, hiring, and team development. Matt is particularly interested in how the assessment can translate skills data into actionable insights that enable workforce planning and align analytics talent with evolving business priorities.","Organization wants analytics skills assessment to identify capabilities, gaps, and support workforce planning decisions.",None - IIA better fit,1,4,4
00005925,Scheduling Offered,23,"As part of the 2026 Federation OKRs, <CLIENT> and Greg must publish and deploy a quarterly BU Health reporting process to create mutual accountability between Schwab Data and business units operating under the federated model. Greg has drafted a template for these quarterly checkpoints, which will include document submission plus a live discussion between <CLIENT> and BU sponsors. Because this process is being built from scratch, <CLIENT> is seeking validation that the structure, metrics, and discussion framing reflect best practices used in other large enterprise federated operating models. <CLIENT> and Greg would find value in peer benchmarking and expert review of the draft framework. Specifically, <CLIENT> would benefit from insights into how other large organizations structure federated health reviews, what dimensions are commonly assessed (accountability, data quality, governance adherence, adoption metrics), and potential blind spots. Stress-testing the current template and suggesting refinements would help ensure the process is practical, balanced, and scalable before broader rollout.",Financial services firm needs expert review and benchmarking of federated data governance reporting framework against enterprise best practices.,None - IIA better fit,1,4,4
00005946,Future,23,"<CLIENT> continues to encounter leadership resistance around the concept of tiered data rigor. Currently, Schwab Data tends to operate in a binary model: either assets remain local/ad hoc, or they are built as fully enterprise-curated data products with full SDLC rigor. <CLIENT> believes this model is unrealistic and is advocating for a graduated approach to data sharing and governance (multiple levels of care based on scope, risk, and reuse). He is concerned that pushing this position alone may strain relationships within the leadership team. Support needed includes external validation and facilitated leadership alignment. Depending on insights <CLIENT> gathers from Gartner, and if <MD> is up for it, this may involve bringing <MD> into a leadership discussion to further validate <CLIENT>'s perspective, which stems from previous conversations with <MD>. A pre-alignment call with <CLIENT> would be required to understand political sensitivities and tailor messaging appropriately. The objective would be to reframe the discussion from opinion-based debate to industry-informed strategy, reducing internal friction while reinforcing a more scalable governance model.",Financial services company needs external validation and facilitated leadership alignment for tiered data governance model to overcome internal resistance.,None - IIA better fit,1,4,4
00005914,Scheduling Offered,35,"Alex is looking for support to better understand and build enablement across her organization, specifically where communications and training intersect with data and AI. She is focused on gaining access to education and real-world experience that can help her think through how enablement should be structured, communicated, and reinforced. Alex wants exposure to how other practitioners and organizations approach comms alignment, training, and stakeholder enablement so she can ground her thinking, ask better questions internally, and more effectively equip herself and her teams as they move forward.",Organization needs guidance on structuring data and AI enablement programs including communications and training approaches.,None - IIA better fit,1,4,4
00005803,Scheduling Offered,169,"Brent is leading <CLIENT>?s efforts to evolve from a traditional data and analytics literacy program into a broader, enterprise-wide digital literacy strategy. This expanded scope includes AI literacy (Copilot tools, GenAI), collaboration tools (Microsoft suite), and cybersecurity awareness. As part of this initiative, Brent is coordinating a cross-functional cohort to align on strategic objectives, define success metrics, and guide literacy workstreams across the organization. While a strong foundation has been built with previous efforts (with support from the Data Lodge- Valerie Logan), the team is now focused on scaling and integrating literacy more holistically. Brent would like external guidance and peer benchmarks, particularly around how other organizations define and measure success in literacy initiatives. One of his biggest challenges is identifying concrete metrics and business impact measures to validate the effectiveness of literacy programs. He's also interested in learning how others are mapping literacy initiatives to specific KPIs and business outcomes, to ensure that efforts translate into measurable proficiency and decision-making improvements. Brent is open to thought partnership, case studies, and external frameworks that can inform the next phase of <CLIENT>?s digital literacy journey.","Enterprise seeking to scale digital literacy strategy with AI components, needs benchmarking and success measurement frameworks.",None - IIA better fit,1,4,4
00005938,Scheduling Offered,15,"Stephanie and team have spent the last 18 months building a Marketing Mix Model (MMM). She has strong prior MMM experience from TD Ameritrade and Schwab While the model is sound, executive confidence and cross-functional trust are lacking. This is now a leadership alignment issue more than a modeling issue. Support needed: Stephanie has a 90-minute enablement session with leadership and wants to increase CMO confidence in MMM as the primary decision framework. She would like to connect with a senior, executive-ready marketing leader who has operationalized MMM and can credibly speak to: -Executive reporting & budget allocation -Business impact -Cross-functional buy-in",Marketing team needs executive coaching and validation for existing Marketing Mix Model to build leadership confidence.,None - IIA better fit,1,4,4
00005948,New,34,"Subash and his team are actively grappling with the growing divide between centralized IT/platform teams and business units that continue to develop their own IT capabilities. While this decentralization can increase speed and responsiveness, there is concern about unchecked growth, lack of alignment, and long-term impact on the enterprise platform. The team is uncertain about how to manage this tension effectively, how much autonomy to allow business units while still protecting the integrity and scalability of centralized capabilities. Support is needed in understanding how other large enterprises are addressing this balance and what practical models or guardrails can help prevent fragmentation without slowing innovation.",Enterprise seeking guidance on balancing centralized vs decentralized IT governance and organizational alignment.,None - IIA better fit,1,4,4
00005929,On Hold,183,"Dartmouth is reassessing its BI tool strategy. The organization currently uses Tableau, and while generally satisfied with its functionality, there are concerns around the cost and inconsistent vendor support. As a result, they are exploring Power BI as a possible alternative. However, Elizabeth is cautious about the effort required to migrate existing dashboards and visualizations. She is interested in connecting with organizations, healthcare or otherwise, that have transitioned from Tableau to Power BI, to better understand the technical and operational implications of such a move and gather real-world lessons learned before proceeding. She is also open to hearing additional tool suggestions outside of just Power BI. Update as of 11-12: Elizabeth Stedina and her team are reassessing their current BI environment, which is primarily built in Tableau. While Tableau remains functional, the team is evaluating whether a migration to Power BI would better align with their long-term analytics strategy, cost considerations, and enterprise integration needs. Elizabeth expressed interest in understanding the real-world experiences of organizations that have transitioned from Tableau to Power BI?particularly around migration complexity, functionality trade-offs, user adoption, and lessons learned. She is especially interested in connecting with peers in healthcare or similarly regulated industries, given her team?s focus on PHI and data auditing requirements. The decision to migrate is not yet finalized; the team plans to renew Tableau for one year while exploring options and gathering insights. Olivia will identify relevant peer organizations and case studies (e.g., <CLIENT> or healthcare peers) to help Elizabeth make an informed, evidence-based decision on the potential BI tool migration.",Healthcare organization comparing BI tools (Tableau vs Power BI) seeking peer insights on migration complexity and lessons learned.,None - IIA better fit,1,4,4
00005943,Future,185,"Ryan is hoping for support in facilitating a virtual fireside chat for a targeted leadership group at Deere. The goal is to provide an external, non-vendor industry perspective that complements the messaging internal stakeholders are already receiving from vendors and sales teams. Ryan sees value in bringing in an outside voice to speak candidly about AI transformation, particularly the change management aspects that are often overlooked but critical for success, including the cultural, organizational, and people-related impacts. The session will likely take place during a monthly staff meeting, involving around 12?14 director-level and cross-functional leaders, including HR.",Enterprise leadership seeking external perspective on AI transformation and change management for director-level audience.,None - IIA better fit,1,4,4
00005905,Scheduling Offered,44,"<CLIENT> is launching a large-scale AI literacy and transformation initiative focused on equipping their leadership- ranging from Directors and VPs <CLIENT>n to front-line managers- with the skills to navigate an evolving digital landscape. The primary scope of the project involves developing persona-based training pathways that address the unique strategic and operational needs of different management tiers. Specifically, they are seeking expertise to provide curriculum frameworks, success stories, and expert consultation on how to transition managers through the change and gain adoption.",Large-scale AI literacy and transformation training initiative for leadership across management tiers with focus on adoption and change management.,None - IIA better fit,1,4,4
00005804,Scheduling Offered,169,"The <CLIENT> team, including Brent Wallace, Nathan Wilmot, and Joe Czyzyk, is building a more structured and repeatable approach to value articulation, measurement, and prioritization across their data and AI initiatives. While they?ve made strides in using ROI models that factor in implementation and support costs, they?re looking to move beyond generalized or high-level value metrics. A key challenge is translating abstract or early-stage ideas into quantifiable business value, especially when input data is limited or assumptions vary widely. They would like support around methodologies that better tie proposed solutions to concrete KPIs, whether in cost savings, margin improvement, or operational efficiency, while maintaining credibility with business stakeholders. ^ This ties into their other initiatives, but is something that the whole team would find valuable to collaborate on together to get support around.",Enterprise team needs methodologies for measuring and articulating ROI/value of data and AI initiatives to stakeholders.,None - IIA better fit,1,4,4
00005760,Scheduling Offered,199,"Rong is leading the analytics governance team at <CLIENT> and is seeking support around ensuring the responsible and ethical use of data, analytics, and AI across the organization. A key challenge she is facing is the complexity of the rapidly evolving AI regulatory landscape, including federal initiatives like the White House AI Action Plan, proposed regulations such as the EU AI Act, and industry-specific implications for insurance. Rong is looking for guidance, frameworks, and best practices to help her team stay ahead of compliance requirements and navigate uncertainty with confidence. She is interested in connecting with an expert who can offer a perspective on current and upcoming regulations, as well as help interpret what these mean specifically for AI governance in the insurance sector.",Insurance company seeking AI governance frameworks and regulatory compliance guidance.,None - IIA better fit,1,3,3
00005783,Scheduling Offered,176,"Curt wants to replicate and scale the ?<CLIENT> Polk?-style experience into: A fireside chat that is open to 50?75 participants internally at <CLIENT>. Potential focus: Data storytelling, Copilot use in presentations, AI integration in human workflows. Needs to discuss with Jacey, but expects support. Goal: Help employees improve communication skills, especially under outsourcing pressure.",Internal training on data storytelling and AI integration in workflows for 50-75 employees.,None - IIA better fit,1,3,3
00005877,Cancelled,45,"Email from Travis: Hello Olivia, My name is Travis Atkinson and I am a Data Scientist on the International Risk Analytics team at <CLIENT> Financial. I got your contact information from Staci Madetzke. Our lending institution in the European market is located in Luxembourg with retail lending portfolios in the UK, Germany, and Spain. We are looking at expanding financing into Portugal and we were hoping that we could speak with someone about standard practices when pulling consumer information from the Bank of Portugal. In speaking with our bureau partners in the region, it is our understanding that the consumer must provide credentials (username and password) to access their credit history information at the Bank of Portugal, but from a legal standpoint <CLIENT> Financial may not be allowed to collect this information, even with consent from the consumer. Is there a subject matter expert in the region with insights into how other lending institutions are going about having consumers enter credentials so that their credit information at the Bank of Portugal can be used in the credit decision process, preferably in an automated fashion? Are other lenders partnering with a bureau providers such as Equifax to achieve this? Is there a Bank of Portugal splash page that can be used where the consumer can enter their credentials directly? Is there a middleware such as Autenicacao.gov and Citizen Card middleware that is utilized for entering credentials to access the Bank of Portugal? Are there legal implications we should be aware of for lending institutions not located in Portugal accessing consumer information at the Bank of Portugal? These are some of the questions we have. We would love to have a meeting between subject matter experts and our people from <CLIENT> legal, IT, operations, and risk. Is this something that can be facilitated? Thank you! Kind regards,",Inquiry was cancelled.,N/A,1,1,1
00005771,Cancelled,126,"Email from Pat: I?m w<CLIENT>ing if you have come across any clients that try to gauge competitor performance in the area of Data, Analytics, and AI? Below is view for a different scorecard for reference ________________________________ However it would more likely be bucketed into the categories data, analytics, and ai with maybe some combination of the below subcategories: Data: Evaluate the maturity, accessibility, and governance of data assets. Data Architecture & Integration: Presence of a unified data platform or data lake (e.g., McDonald?s push for a global data architecture. Data Governance & Stewardship: Policies, roles, and tools for managing data quality, privacy, and metadata (e.g., McDonald?s Enterprise Data Governance Cookbook. Data Accessibility & Self-Service: Tools and processes enabling business users to access and use data without IT bottlenecks (e.g., semantic layer initiatives. Data Quality & Standardization: Consistency and accuracy of KPIs across functions and geographies. Data Prioritization: Strategic focus on critical data assets that drive business outcomes. Analytics: Assess how insights are generated, shared, and acted upon. Business Intelligence Tools: Breadth and depth of BI platforms (e.g., Looker, Power BI, Tableau). KPI Alignment & Reporting Consistency: Use of a ?One Source of Truth? for metrics (e.g., McDonald?s ?One MCD Way of KPIs?. Predictive & Prescriptive Analytics: Use of forecasting models, scenario planning, and optimization engines. Field & Ops Enablement: How analytics are embedded in frontline decision-making (e.g., Field Ops Data Journey. ROI & Impact Measurement: Ability to quantify the business value of analytics (e.g., sessions like Beyond the Math: Rethinking ROI in Enterprise Analytics. Artificial Intelligence: Gauge the depth and breadth of AI deployment and governance. AI Strategy & Roadmap: Clarity and ambition of AI vision (e.g., McDonald?s ?Accelerating the Arches? strategy. AI Use Cases in Production: Deployment of AI in personalization, demand forecasting, pricing, etc. Responsible AI & Governance: Frameworks for ethical AI use, including model registries and impact assessments. AI Infrastructure & Tooling: Investment in scalable platforms and model lifecycle management. Innovation & Partnerships: Collaborations with vendors, startups, or academia to accelerate AI maturity.",Inquiry was cancelled.,N/A,1,1,1
00005694,Closed,0,,No description provided.,N/A,1,1,1
00005846,Cancelled,77,"Elizabeth is leading Dartmouth Health through an evaluation of next steps for their enterprise data platform, following insights from their assessment. The team is now conducting early-stage due diligence on new technology solutions, including Health Catalyst?s Ignite platform and 3Cloud, a Microsoft partner. While initial vendor meetings are scheduled, Elizabeth is looking for peer or expert insights to better understand how similar organizations have approached platform decisions; specifically, what drove their choices, what trade-offs they encountered, and whether the solutions met expectations. Her priority is to gain independent, vendor-agnostic perspectives to guide internal conversations and ensure a thoughtful, well-informed decision. -They met with Chris Hutchins and would now like to meet with a peer organization on this topic",Inquiry was cancelled.,N/A,1,1,1
00005722,Cancelled,133,"Ryan?s team is exploring a potential transition from a centralized Business Insights model to a more distributed ?Decision Science? approach. While some initial conversations have begun, Ryan emphasized that the team is still in the very early stages, largely conceptual, and he's not yet convinced that ?Decision Science? is the right path. His primary goal is to define a strategic direction that aligns with the evolving needs of the business, especially as analytics capabilities become more democratized across departments. Ryan is looking for support to pressure test the decision science concept, what it really means, whether it's appropriate for his team?s current capabilities, and how it compares to other models. He?s also thinking critically about key strategic questions: What differentiates a centralized insights team from embedded analysts in the future? How would they assess skill gaps? What would the implementation, change management, and training plans look like if they moved forward? Ryan is seeking guidance at a high level before investing further time or advocating for the transition to leadership.",Inquiry was cancelled.,N/A,1,1,1
00005649,Cancelled,195,"<CLIENT> Ruda is seeking strategic guidance to design a ?Path to Production? framework as part of Schwab?s federated data model. His aim is to create a structured yet flexible process that enables business units to develop analytics and data assets locally, while providing a clear, standardized path for promoting select assets?such as executive-facing dashboards?into a centrally governed, production-quality state. This approach is intended to balance agility with governance by focusing less on who does the work and more on how the work is done, ensuring quality and consistency without introducing unnecessary bottlenecks. To support this, <CLIENT> is looking for practical examples and terminology used by other organizations who?ve implemented similar frameworks (e.g., promotion workflows, certification tiers). He?s also interested in specific artifacts?like playbooks, intake checklists, and escalation protocols?and would benefit from expert input (such as from AWS or public-sector leaders) on structuring governance without stifling innovation. A facilitated session with Mark Demos is being considered to help define promotion criteria and operational workflows that enable trust and scalability across Schwab?s federated analytics",Inquiry was cancelled.,N/A,1,1,1
00005944,Closed,0,,No description provided.,N/A,1,1,1
00005414,Cancelled,226,"<CLIENT> shared the struggle of integrating analytics insights into technology and how to communicate them effectively to users (e.g., operators) without overcomplicating the interface. Example: Forecasting tool showing operating hours and the impact of changes, but the team is unsure how to communicate adjustments without cluttering the UI/UX. He seeks best practices on embedding insights into user interfaces without detracting from usability and aesthetics. CTA: <CLIENT> asked for industry white papers or best practices regarding how to effectively communicate insights through embedded technology. Industry Expertise: Olivia is working on organizing a session with Lee Feinberg (IIA expert), and <CLIENT> might find this helpful as it touches on some of the issues he?s facing.",Inquiry was cancelled.,N/A,1,1,1
00005939,Exchange Scheduled,15,,No description provided.,N/A,1,1,1
00005521,Cancelled,175,"Jason is investigating open-source storage formats (e.g., Iceberg) and cost-efficient compute orchestration tools. Goal: Optimize query execution costs across platforms (Databricks, Snowflake, Teradata) by dynamically selecting the most efficient option. Jason acknowledges this is a cutting-edge area with limited existing expertise but he would love to meet with someone if we know of anyone who could be a good fit. Timeline: No immediate urgency, but it is a priority for future cost reduction efforts.",Inquiry was cancelled.,N/A,1,1,1
00005433,Cancelled,140,"We may have talked to Ian about this. He owns all the AI platforms. If we were to take those access holders outside of his team, how do we do that? What are the skills required? How do we certify? Monitor? etc.",Inquiry was cancelled.,N/A,1,1,1
00005677,Closed,0,,No description provided.,N/A,1,1,1
00005636,Cancelled,114,"Martijn is looking to understand how other organizations have structured the development lifecycle for GenAI solutions?specifically around copilots. He?s interested in how teams have operationalized these tools, demonstrated their value, and measured ROI. His focus is on identifying effective ways to showcase the impact of investing in GenAI, both from a technical execution and business value perspective.",Inquiry was cancelled.,N/A,1,1,1
00005740,Closed,0,,No description provided.,N/A,1,1,1
00005890,Cancelled,3,Pat would love to have a peer exchange to hear about Deere's annual BI&A conference.,Inquiry was cancelled.,N/A,1,1,1
00005469,Closed,31,,No description provided.,N/A,1,1,1
00005515,Cancelled,16,"Taya, who will officially start as the Director of R&D at <CLIENT> in mid to late April, is focused on defining the business value of her team and creating a structured framework for R&D's impact. She is transitioning from an IT-focused, finance-driven environment to one centered on strategic analytics and innovation, with a particular interest in AI model evaluation for venture capital investment decisions. Taya is concerned about the lack of clear success metrics for R&D and how to demonstrate business value beyond financial metrics. She is open to learning from other organizations, particularly in healthcare analytics, and seeks networking opportunities to exchange best practices. Taya also recognizes potential challenges in bridging the gap between highly academic team members and business value and is eager to upskill in advanced analytics and AI, while keeping an open mind about her long-term career prospects.",Inquiry was cancelled.,N/A,1,1,1
00005847,Cancelled,61,"Carol (on Elizabeth's team) raised a question regarding Snowflake as part of Dartmouth Hitchcock?s broader evaluation of modern data platforms, which currently includes Databricks, Microsoft Fabric, and related options tied to Epic?s cloud direction. Carol is interested in understanding Snowflake's potential advantages- specifically, whether Snowflake?s metadata structure compatibility could reduce the need for recoding and streamline migration. The team is looking for guidance on how Snowflake compares functionally and strategically with Fabric and Databricks, particularly in a healthcare context. The Dartmouth Hitchcock team would benefit from peer validation on Snowflake?s performance, cost model, and interoperability with existing Epic and Strata systems. They are seeking real-world references and examples from other healthcare organizations that have implemented Snowflake successfully, with an emphasis on data integration efficiency, cost optimization, and long-term scalability.",Inquiry was cancelled.,N/A,1,1,1
00005865,Cancelled,46,"Amongst <CLIENT>'s architectire modernization initiative, Paddu would like to have a technical deep dive conversation with Mark Madsen. He would like to loop in Dan Little and Philip",Inquiry was cancelled.,N/A,1,1,1
00005671,Closed,0,,No description provided.,N/A,1,1,1
00005593,Closed,0,,No description provided.,N/A,1,1,1
00005763,Closed,0,,No description provided.,N/A,1,1,1
00005762,Closed,0,,No description provided.,N/A,1,1,1
00005876,Closed,55,"Victoria is preparing to build executive-ready roadmaps for 2026 that span multiple, increasingly complex initiatives across data management, governance, reporting, and AI. She is currently leading several parallel efforts- including an Executive Reporting Harmonization Program (focused on standardizing metric definitions), a citizen developer enablement initiative in Power BI, ongoing data cataloging and governance work, and emerging AI pilots- each at different levels of maturity. Her challenge is not defining the initiatives themselves, but determining how to logically structure, sequence, and potentially consolidate them into a cohesive set of roadmaps that leadership can easily understand and support, without creating fragmentation or confusion. She would like to connect with a thought partner with experience designing enterprise-level roadmaps to help her translate these ?Frankenstein? pieces into a clear visual narrative with meaningful milestones, dependencies, and timing?particularly in light of constraints such as IT platform migrations and growing AI complexity. The support she is looking for includes sense-checking her framing, identifying which initiatives should be combined versus separated, and refining the story for executive and VP audiences so that the roadmaps clearly communicate priorities, value, and progression toward measurable outcomes in 2026. Update from Victoria as of 1-29",No description provided.,N/A,1,1,1
00005680,Closed,66,"Shawn expressed a strong interest in identifying scalable, high-impact generative AI use cases specifically within sales and marketing. He noted that while his team has explored genAI, they are seeking practical, repeatable applications that drive measurable value?ideally in cost reduction or revenue generation. He emphasized the need for clear business cases that go beyond basic document summarization or ad hoc productivity enhancements, instead focusing on AI embedded within processes or workflows. Shawn is particularly interested in learning how other organizations are scaling genAI in comparable functions and would benefit from expert or peer insights grounded in real-world implementation, especially within the context of decentralized decision-making environments.",No description provided.,N/A,1,1,1
00005374,Closed,22,"Which companies already have strategic and risk management forums established for AI specifically? For those with established oversight on both strategy and risk ? are they doing this as one combined committee or do they have strategy and risk split out? Definitions: Strategic oversight - make sure we are working on the right problems, and help prioritize resources. Risk oversight - help enforce responsible AI practices and serve as an escalation point for tricky risk acceptance decisions.",No description provided.,N/A,1,1,1
00005405,Closed,66,"They just signed the Microsoft version with DataBricks. What tools should we be looking at? What programs and policies should be in place? Timing: The sooner, the better. They are putting together a deck for the CIO by February 3rd.",No description provided.,N/A,1,1,1
00005421,Expired,179,"Kevin highlighted communities of practice (CoPs) as a key area of interest for 2025. Specifically, he wants to leverage visualization as part of CoPs to enhance collaboration and knowledge-sharing within the organization. These communities could focus on specific areas of expertise, but the visualization aspect is key to ensuring clear communication and engagement among participants. Key Notes: Emphasis on visualization techniques and tools to facilitate better knowledge sharing in CoPs. Likely includes developing visual models, dashboards, or collaborative platforms to support CoP activities. Focus on practical tools or approaches to make CoP participation more interactive and impactful.",No description provided.,N/A,1,1,1
00005551,Closed,95,"1. Conversation with Mark Molau We talked about scheduling this for about 8 weeks out, which puts it during the week of May 15. I think these conversations are pretty routine so we don't need any additional information.",No description provided.,N/A,1,1,1
00005408,Closed,57,"Tim met with Wanne last week and had a very interesting conversation with him. It was validating, but now what? The change management process is hard. Jess has done a good job of trying to set the stage close by them, from a stakeholder standpoint. It's the broader stakeholder education that is important here as well. For the next conversation, Tim acknowledges he has a skill gap. He struggles with hearing what his stakeholders are asking for, communicating it back to the engineering team as a strategic play, and integrating it into a larger strategic plan? What can the product do to have greater impact? Background: there are two ways for the intake to happen - one through the BI team, the other directly to Tim and team.",No description provided.,N/A,1,1,1
00005575,Closed,32,"Engagement Models As a central AI/ML team, how have organizations effectively collaborated with business stakeholders who possess varying levels of AI/ML maturity? Specifically, how have others addressed the challenge of determining what the central team should fully own versus what should be handed off to other teams? The client currently categorize internal users into three segments: Users requiring comprehensive white-glove service, including development and ongoing maintenance from the central team.Users needing initial development and occasional support, but capable of managing ongoing operations independently.Users who primarily require guidance on best practices.",No description provided.,N/A,1,1,1
00005502,Closed,53,"Dominika seeks support in navigating difficult conversations with senior leadership, particularly around setting realistic expectations without appearing confrontational. She needs strategies for handling situations where her team is under-resourced yet expected to deliver high-quality insights. As a result, she is interested in guidance on how to address challenges in a tactful, professional manner without creating conflict. She articulated a need for a more formalized project intake process to set clear boundaries and define project scope, particularly for ad hoc initiatives. Highlighted instances where her team was assigned responsibility for poorly defined projects without proper resources or approval. Open to developing guardrails to prevent similar situations from recurring. Change Management and Prioritization Support: Interested in strategies for managing organizational change and navigating complex hierarchies, especially when priorities shift due to business challenges. Expressed the importance of maintaining team morale and alignment during periods of organizational turbulence. This is a meaty topic and could likely become a series of conversations with experts.",No description provided.,N/A,1,1,1
00005403,Closed,53,They have a situation from legal that AI note takers are off limits and Durrell feels this is wrong. Working on pulling together use cases across the business. They ruled out the low hanging fruit like meeting notes but would like expert ammunition. Emphasis on making the case for being able to make internal meeting notes (using gemini),No description provided.,N/A,1,1,1
00005853,Closed,70,"Wendy?s top priority is understanding how other organizations evaluate the performance and quality of LLM-generated outputs. Her team struggles with the lack of concrete, quantitative methods to determine whether an LLM?s response is ?good,? whether a new iteration is better or worse, and how to systematically detect hallucinations or degradation. She wants to learn how peers measure accuracy, consistency, reliability, and drift, and she is particularly interested in approaches where one LLM is used to assess or validate another (?LLM as judge?), as well as repeatable evaluation workflows and real-world examples. Her core goal is to reduce wasted time and experimentation by learning directly from teams already doing this work so she can improve oversight and quality control for LLM outputs within her own organization.",No description provided.,N/A,1,1,1
00005368,Expired,166,"The team is navigating a tough budgeting climate while adapting to the democratization of generative AI, focusing on improving efficiency, avoiding duplication of efforts, and aligning resources with long-term goals. They seek guidance on standardizing AI usage for project management, ensuring consistency in outputs across teams, and engaging leadership to address data limitations and demonstrate the value of analytics. Additionally, they are interested in how other organizations align AI-driven transformations with operational efficiency and budget forecasting.",No description provided.,N/A,1,1,1
